;Texto;Valor
2;Amanhã será o lançamento da campanha à reeleição de nosso presidente em Juiz de Fora - MG.;1
3;O nosso Presidente Bolsonaro novamente arrastando multidões hoje em Montes Claros, Minas Gerais. Agora imaginem, só imaginem, o que será o próximo dia 7 de setembro. Será a maior manifestação da história do nosso Brasil!!! #CapitaoEoTerrorDoLadrao #BolsonaroReeleito2022;1
4;"""Vice-presidente na chapa de bolsonaro, Gal. Braga Netto recebeu R$ 926 mil em 2 meses.""";1
5;Oi Galera de Minas Gerais, quem será nosso candidato a senador ?;1
6;Nosso presidente em Juiz de Fora, Minas Gerais!;1
