;Texto;Valor
4;Não esqueçam Jamais da convocação do nosso presidente, dia 7 de setembro ( o novo grito da independência ) a qual o mundo inteiro irar ver !!!!;1
5;E o debate dos candidatos de SP hoje, quem vai assistir? Começa às 21h né?;1
6;Tem que sair às ruas no dia 7 de setembro e ficar até o dia das eleições!;1
7;COMUNICADO OFICIAL No dia 30/07 meu nome foi aprovado pelo PDT-MG, e agora sou oficialmente candidato a Deputado Federal. Para nos ajudar nessa campanha e levar nossa mensagem para mais pessoas, acabamos de lançar a nossa vaquinha virtual e vc pode ajudar a partir de R$10;1
8;“O congresso nacional é o resultado da sua consciência política no dia das eleições”;1
9;TSE nega dados de eleições anteriores às FFAA. Assim é fácil dizer que nunca houve comprovação de fraude, né;1
10;Precisamos ficar ALERTAS às  próximas eleições! NÃO, aos relacionados nesta postagem! Queremos um Congresso DIGNO do Presidente q VAMOS REELEGER! #BolsonaroNoPrimeiroTurno;1
11;O Fluminense está simplesmente mostrando as fragilidades q a gestão n fez questão de consertar:  Contratações descentes e pontuais p/ repor jogadores importantes.  Oportunidade p/ base.  Lateral esquerdo descente. Até o momento mais um vexame! Pense bem nas eleições!;1
