;Texto;Valor
6;Da ultima vez que os petistas bateram tanto assim em um candidato, ele foi eleito. Continuem!;2
7;Por que tá sinalizando ali que esse candidato é NOVO se eu tô vendo aqui que ele é bem velhinho?;2
8;Zambelli escreveu isso em 23/06/2021, justamente se referindo às eleições deste ano, ou seja, que Ricardo Salles ia ser eleito e eu não. Ela depois apagou este post, mas o print é eterno. A questão é: vamos deixar a dupla Zambelli e Salles ganhar ??;2
9;Por que o candidato do Bolsonaro entrou na justiça para censurar este vídeo?;2
