;Texto;Valor
2;Um país, que tem Ciro como candidato, mas está dividido entre Lula e Bolsonaro não pode dar certo nunca. #CiroNoJN;1
3;No primeiro turno irei de Ciro Gomes de novo, sei que, infelizmente, ele não tem chances de chegar ao segundo turno, mas isso não apaga o fato de que ele é o melhor e mais preparado candidato para assumir a presidência desse país. #CiroNoJN;1
4;Candidato do Novo, Felipe D’Ávila, cheou na Band dizendo que o país vive uma crise econômica com investimento em baixa. Taxa de Investimento atual: +19% Antes de nós: +14% Temos um novo Ciro Gomes no laranjal!;1
5;É frustrante saber que somos obrigados a decidir as eleições entre apenas 2 candidatos. Votar no Lula na minha opinião é um retrocesso, porém infelizmente é a única forma de tirar o capiroto do poder, acho que deveríamos dá oportunidade a um novo candidato. Eu iria de Ciro.;1
