;Texto;Valor
0;Piperno acusando o Presidente de tentar prejudica-lo na emissora. Mas qual vítima não gostaria de ver o criminoso sendo punido. Fake News é crime!! Jornalista tem imunidade absoluta? https://twitter.com/Jeffers17486732/status/1559321354721173511/video/1…;0
1;o futuro presidente de 2060 está nesse momento decidindo se compensa comrpar aquele pod com 1000 puffs na promo;0
2;Na escalada do JN nenhuma palavra sobre os apartamentos comprados com dinheiro vivo pelo presidente e sua família.;0
3;Parabéns à categoria que todos os dias dedicam suas vidas para salvar outras vidas. Lutamos e aprovamos na Câmara Federal e, hoje, o presidente Bolsonaro sancionou.;0
