;Texto;Valor
45;Amanhã será o lançamento da campanha à reeleição de nosso presidente em Juiz de Fora - MG.;2
46;Quem se elegerá presidente da República em outubro próximo?;2
47;O nosso Presidente Bolsonaro novamente arrastando multidões hoje em Montes Claros, Minas Gerais. Agora imaginem, só imaginem, o que será o próximo dia 7 de setembro. Será a maior manifestação da história do nosso Brasil!!! #CapitaoEoTerrorDoLadrao #BolsonaroReeleito2022;2
48;"""Vice-presidente na chapa de bolsonaro, Gal. Braga Netto recebeu R$ 926 mil em 2 meses.""";2
49;Estamos juntos, Presidente @jairbolsonaro! Obrigado, mais uma vez, pelo voto de confiança. Com certeza vamos seguir reconstruindo o Brasil. Santa Catarina merece um novo senador e eu faço coro ao pedido do presidente. Catarinense, vote 222 para o Senado;2
50;Oi Galera de Minas Gerais, quem será nosso candidato a senador ?;2
51;Gente pelo amor de Deus o presidente está se decompondo;2
52;Nosso presidente em Juiz de Fora, Minas Gerais!;2
53;Dupla abençoada e com total apoio do nosso presidente, espalha aí pessoal e compareça quem puder, Juntos venceremos essa guerra;2
